timestamp,gesture,detail
1775641075.850,inactive,prev=none
1775641075.963,cursor,prev=inactive
1775641076.702,zoom,prev=cursor
1775641077.653,volume,prev=zoom
1775641078.255,media,prev=volume
1775641078.466,cursor,prev=media
1775641080.179,zoom,prev=cursor
1775641080.438,volume,prev=zoom
1775641080.682,media,prev=volume
1775641081.812,volume,prev=media
1775641082.084,media,prev=volume
1775641082.448,volume,prev=media
1775641083.239,media,prev=volume
1775641083.791,volume,prev=media
1775641087.221,media,prev=volume
1775641087.490,volume,prev=media
1775641088.063,zoom,prev=volume
1775641090.341,inactive,prev=zoom
1775641090.517,volume,prev=inactive
1775641090.696,media,prev=volume
1775641090.927,hand_lost,
1775641091.897,inactive,prev=none
1775641091.992,cursor,prev=inactive
1775641092.384,zoom,prev=cursor
1775641093.015,cursor,prev=zoom
1775641093.227,hand_lost,
1775641094.019,inactive,prev=none
1775641094.156,zoom,prev=inactive
1775641096.245,cursor,prev=zoom
1775641096.592,zoom,prev=cursor
1775641104.616,cursor,prev=zoom
1775641104.933,zoom,prev=cursor
1775641105.387,volume,prev=zoom
1775641106.262,zoom,prev=volume
1775641107.955,volume,prev=zoom
1775641109.886,media,prev=volume
1775641110.090,zoom,prev=media
1775641111.417,volume,prev=zoom
1775641112.430,hand_lost,
1775641132.299,inactive,prev=none
1775641132.434,volume,prev=inactive
1775641132.913,media,prev=volume
1775641133.206,cursor,prev=media
1775641134.547,media,prev=cursor
1775641134.808,volume,prev=media
1775641136.025,media,prev=volume
1775641136.537,cursor,prev=media
1775641136.956,media,prev=cursor
1775641137.658,zoom,prev=media
1775641137.988,volume,prev=zoom
1775641138.717,zoom,prev=volume
1775641139.201,cursor,prev=zoom
1775641140.372,zoom,prev=cursor
1775641140.651,volume,prev=zoom
1775641141.184,zoom,prev=volume
1775641141.559,cursor,prev=zoom
1775641142.146,zoom,prev=cursor
1775641142.678,volume,prev=zoom
1775641143.222,zoom,prev=volume
1775641143.598,volume,prev=zoom
1775641144.162,media,prev=volume
1775641144.427,zoom,prev=media
1775641144.959,volume,prev=zoom
1775641145.422,media,prev=volume
1775641145.889,zoom,prev=media
1775641146.079,media,prev=zoom
1775641147.148,volume,prev=media
1775641147.928,cursor,prev=volume
1775641148.164,hand_lost,
1775641148.659,inactive,prev=none
1775641148.790,media,prev=inactive
1775641148.881,hand_lost,
1775641151.607,inactive,prev=none
1775641151.895,volume,prev=inactive
1775641151.988,hand_lost,
1775641165.274,inactive,prev=none
1775641165.378,cursor,prev=inactive
1775641167.399,screenshot,prev=cursor
1775641169.447,hand_lost,
1775641187.737,inactive,prev=none
1775641187.849,volume,prev=inactive
1775641189.659,zoom,prev=volume
1775641189.939,volume,prev=zoom
1775641190.340,zoom,prev=volume
1775641190.610,volume,prev=zoom
1775641192.226,media,prev=volume
1775641192.329,hand_lost,
1775641238.486,inactive,prev=none
1775641238.587,cursor,prev=inactive
1775641243.646,screenshot,prev=cursor
1775641244.529,cursor,prev=screenshot
1775641251.431,hand_lost,
1775641255.792,inactive,prev=none
1775641255.916,cursor,prev=inactive
1775641265.607,volume,prev=cursor
1775641266.062,cursor,prev=volume
1775641266.212,hand_lost,
