timestamp,gesture,detail
1776941737.238,inactive,prev=none
1776941737.329,cursor,prev=inactive
1776941738.429,zoom,prev=cursor
1776941738.650,volume,prev=zoom
1776941738.827,zoom,prev=volume
1776941739.324,volume,prev=zoom
1776941739.420,zoom,prev=volume
1776941740.261,media,prev=zoom
1776941740.396,volume,prev=media
1776941740.636,media,prev=volume
1776941740.924,volume,prev=media
1776941741.067,media,prev=volume
1776941741.164,volume,prev=media
1776941741.340,zoom,prev=volume
1776941742.540,cursor,prev=zoom
1776941747.538,volume,prev=cursor
1776941747.760,cursor,prev=volume
1776941751.217,volume,prev=cursor
1776941751.467,cursor,prev=volume
1776941751.577,media,prev=cursor
1776941752.248,zoom,prev=media
1776941752.464,cursor,prev=zoom
1776941759.617,hand_lost,
1776941759.719,hand_lost,
1776941759.937,hand_lost,
1776941760.033,hand_lost,
1776941760.154,hand_lost,
1776941760.357,hand_lost,
1776941760.450,hand_lost,
1776941760.754,inactive,prev=none
1776941760.906,cursor,prev=inactive
1776941774.102,volume,prev=cursor
1776941774.379,cursor,prev=volume
1776941777.448,volume,prev=cursor
1776941777.657,cursor,prev=volume
1776941782.994,hand_lost,
1776941784.493,inactive,prev=none
1776941784.637,cursor,prev=inactive
1776941784.775,screenshot,prev=cursor
1776941787.368,hand_lost,
1776941788.319,inactive,prev=none
1776941788.452,media,prev=inactive
1776941788.793,hand_lost,
1776941800.058,inactive,prev=none
1776941800.185,cursor,prev=inactive
1776941804.182,hand_lost,
1776941809.592,inactive,prev=none
1776941809.709,cursor,prev=inactive
1776941826.387,volume,prev=cursor
1776941826.799,cursor,prev=volume
1776941827.113,volume,prev=cursor
1776941827.690,cursor,prev=volume
1776941827.956,volume,prev=cursor
1776941828.503,cursor,prev=volume
1776941830.327,volume,prev=cursor
1776941830.450,cursor,prev=volume
1776941834.498,hand_lost,
1776941835.365,inactive,prev=none
1776941835.496,cursor,prev=inactive
1776941837.660,scroll,prev=cursor
1776941837.940,hand_lost,
1776941838.367,inactive,prev=none
1776941838.485,cursor,prev=inactive
1776941838.811,screenshot,prev=cursor
1776941842.166,hand_lost,
1776941866.864,inactive,prev=none
1776941866.960,cursor,prev=inactive
1776941868.543,screenshot,prev=cursor
1776941869.196,cursor,prev=screenshot
1776941902.920,scroll,prev=cursor
1776941903.393,zoom,prev=scroll
1776941904.246,media,prev=zoom
1776941904.406,zoom,prev=media
1776941905.182,cursor,prev=zoom
1776941905.316,volume,prev=cursor
1776941905.813,cursor,prev=volume
1776941906.694,volume,prev=cursor
1776941913.782,cursor,prev=volume
1776941914.839,scroll,prev=cursor
1776941915.006,zoom,prev=scroll
1776941915.138,media,prev=zoom
1776941916.098,cursor,prev=media
1776941916.214,scroll,prev=cursor
1776941918.319,zoom,prev=scroll
1776941918.487,volume,prev=zoom
1776941919.215,hand_lost,
1776941923.326,inactive,prev=none
1776941923.427,media,prev=inactive
1776941923.687,hand_lost,
